#Grid-Scan using Optidos
#Timet: 13-11-18-13:12:31
#Unit: Gy
#Duration: 5 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
29.4;26.1;4.5;0.000105;2;0
29.4;26.1;4.2;0.000156;2;0
29.4;26.1;3.9;0.000228;2;0
29.4;26.1;3.6;0.000321;2;0
29.4;26.1;3.3;0.000451;2;0
29.4;26.1;3;0.000617;1;0
29.4;26.1;2.7;0.000849;1;0
29.4;26.1;2.4;0.00113;0;0
29.4;26.1;2.1;0.001486;0;0
29.4;26.1;1.8;0.001912;0;0
29.4;26.1;1.5;0.002433;0;0
29.4;26.1;1.2;0.003066;0;0
29.4;26.1;0.9;0.003762;0;0
29.4;26.1;0.6;0.004589;0;0
29.4;26.1;0.3;0.005479;0;0
29.4;26.1;0;0.006404;0;0
29.4;27.1;0;0.006554;0;0
29.4;27.1;0.3;0.005617;0;0
29.4;27.1;0.6;0.004683;0;0
29.4;27.1;0.9;0.003896;0;0
29.4;27.1;1.2;0.003136;0;0
29.4;27.1;1.5;0.002492;0;0
29.4;27.1;1.8;0.001966;0;0
29.4;27.1;2.1;0.001528;0;0
29.4;27.1;2.4;0.001168;0;0
29.4;27.1;2.7;0.000872;1;0
29.4;27.1;3;0.000634;1;0
29.4;27.1;3.3;0.000466;2;0
29.4;27.1;3.6;0.000332;2;0
29.4;27.1;3.9;0.000229;2;0
29.4;27.1;4.2;0.000156;2;0
29.4;27.1;4.5;0.000103;2;0
29.4;27.1;4.8;0.000069;2;0
29.4;27.1;5.1;0.000047;2;0
29.4;27.1;5.4;0.000028;2;0
29.4;27.1;5.7;0.000018;2;0
29.4;27.1;6;0.000011;2;0
28.4;27.1;6;0.000018;2;0
28.4;27.1;5.7;0.000025;2;0
28.4;27.1;5.4;0.00004;2;0
28.4;27.1;5.1;0.000066;2;0
28.4;27.1;4.8;0.000105;2;0
28.4;27.1;4.5;0.000159;2;0
28.4;27.1;4.2;0.000239;2;0
28.4;27.1;3.9;0.000354;2;0
28.4;27.1;3.6;0.000496;1;0
28.4;27.1;3.3;0.000726;1;0
28.4;27.1;3;0.000999;0;0
28.4;27.1;2.7;0.001376;0;0
28.4;27.1;2.4;0.001841;0;0
28.4;27.1;2.1;0.002469;0;0
28.4;27.1;1.8;0.003266;0;0
28.4;27.1;1.5;0.004261;0;0
28.4;27.1;1.2;0.00555;0;0
28.4;27.1;0.9;0.007132;0;0
28.4;27.1;0.6;0.009154;0;0
28.4;27.1;0.3;0.0117;0;0
28.4;27.1;0;0.01482;0;0
27.4;27.1;0;0.02271;0;0
27.4;27.1;0.3;0.0174;0;0
27.4;27.1;0.6;0.01318;0;0
